Generator,Scenario,Category
2_1_Cumberland__TN_,nonfocus_TVA,Boiler (Coal)
2_1_Dalhousie,nonfocus_NBSO,Boiler (Coal)
2_1_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
2_1_E_D_Edwards,nonfocus_MISO,Boiler (Coal)
2_1_Gallatin__TN_,nonfocus_TVA,Boiler (Coal)
2_1_H_L_Spurlock,nonfocus_PJM,Boiler (Coal)
2_1_Harrington,nonfocus_SPP,Boiler (Coal)
2_1_Independence_Steam_Electric_Station,nonfocus_MISO,Boiler (Coal)
2_1_Jeffrey_Energy_Center,nonfocus_SPP,Boiler (Coal)
2_1_Kingston,nonfocus_TVA,Boiler (Coal)
2_1_Lawrence_Energy_Center,nonfocus_SPP,Boiler (Coal)
2_1_Milton_R_Young,nonfocus_MISO,Boiler (Coal)
2_1_Morgantown_Generating_Plant,nonfocus_PJM,Boiler (Coal)
2_1_Muskogee,nonfocus_SPP,Boiler (Coal)
2_1_Nanticoke__OPG_,nonfocus_IESO,Boiler (Coal)
2_1_Nelson_Industrial_Steam,nonfocus_MISO,Boiler (Coal)
2_1_New_Madrid,nonfocus_TVA,Boiler (Coal)
2_1_Northeastern,nonfocus_SPP,Boiler (Coal)
2_1_Quindaro,nonfocus_SPP,Boiler (Coal)
2_1_Roxboro,nonfocus_SERC,Boiler (Coal)
2_1_Seminole__FL_,nonfocus_FRCC,Boiler (Coal)
2_1_Shawnee,nonfocus_TVA,Boiler (Coal)
2_1_Sooner,nonfocus_SPP,Boiler (Coal)
2_1_St_Johns_River_Power_Park,nonfocus_FRCC,Boiler (Coal)
2_1_Stanton_Energy_Center,nonfocus_FRCC,Boiler (Coal)
2_1_TalenEnergy_Montour,nonfocus_PJM,Boiler (Coal)
2_1_Thomas_Hill,nonfocus_TVA,Boiler (Coal)
2_1_Thunder_Bay__OPG_,nonfocus_IESO,Boiler (Coal)
2_1_Tolk,nonfocus_SPP,Boiler (Coal)
2_1_W_H_Zimmer,nonfocus_PJM,Boiler (Coal)
2_1_Welsh,nonfocus_SPP,Boiler (Coal)
2_1_White_Bluff,nonfocus_MISO,Boiler (Coal)
2_1_Winyah,nonfocus_SERC,Boiler (Coal)
2_2_Cumberland__TN_,nonfocus_TVA,Boiler (Coal)
2_2_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
2_2_Silver_Bay_Power,nonfocus_MISO,Boiler (Coal)
2_3_Silver_Bay_Power,nonfocus_MISO,Boiler (Coal)
2_A_B_Brown,nonfocus_MISO,Boiler (Coal)
2_A_Dan_E_Karn,nonfocus_MISO,Boiler (Coal)
2_AES_Petersburg,nonfocus_MISO,Boiler (Coal)
2_Antelope_Valley,nonfocus_SPP,Boiler (Coal)
2_B_Dan_E_Karn,nonfocus_MISO,Boiler (Coal)
2_Baldwin_Energy_Complex,nonfocus_MISO,Boiler (Coal)
2_Belews_Creek,nonfocus_SERC,Boiler (Coal)
