Generator,Category
2_Coffeen,Boiler (Coal)
2_Columbia__WI_,Boiler (Coal)
2_Dallman,Boiler (Coal)
2_E_W_Brown,Boiler (Coal)
2_East_Bend,Boiler (Coal)
2_Elmer_Smith,Boiler (Coal)
2_F_B_Culley,Boiler (Coal)
2_FirstEnergy_Bruce_Mansfield,Boiler (Coal)
2_FirstEnergy_Fort_Martin_Power_Station,Boiler (Coal)
2_FirstEnergy_Harrison_Power_Station,Boiler (Coal)
2_FirstEnergy_Pleasants_Power_Station,Boiler (Coal)
2_Gerald_Gentleman,Boiler (Coal)
2_Ghent,Boiler (Coal)
2_Gibson,Boiler (Coal)
2_GREC,Boiler (Coal)
2_Greene_County,Boiler (Coal)
2_H_Chalk_Point_LLC,Boiler (Coal)
2_H_Conemaugh,Boiler (Coal)
2_H_Dickerson,Boiler (Coal)
2_H_Keystone,Boiler (Coal)
2_H_Sioux,Boiler (Coal)
2_H_South_Oak_Creek,Boiler (Coal)
2_H_Waukegan,Boiler (Coal)
2_Hammond,Boiler (Coal)
2_Holcomb,Boiler (Coal)
2_Homer_City_Generating_Station,Boiler (Coal)
2_Iatan,Boiler (Coal)
2_J_H_Campbell,Boiler (Coal)
2_J_M_Stuart,Boiler (Coal)
2_James_H_Miller_Jr,Boiler (Coal)
2_John_E_Amos,Boiler (Coal)
2_Joppa_Steam,Boiler (Coal)
2_Kenneth_C_Coleman,Boiler (Coal)
2_Killen_Station,Boiler (Coal)
2_Kincaid_Generation_LLC,Boiler (Coal)
2_Kyger_Creek,Boiler (Coal)
2_L_Belews_Creek,Boiler (Coal)
2_L_Chalk_Point_LLC,Boiler (Coal)
2_L_Conemaugh,Boiler (Coal)
2_L_Dickerson,Boiler (Coal)
2_L_G_G_Allen,Boiler (Coal)
2_L_Keystone,Boiler (Coal)
2_L_Marshall__NC_,Boiler (Coal)
2_L_Sioux,Boiler (Coal)
2_L_South_Oak_Creek,Boiler (Coal)
2_L_Waukegan,Boiler (Coal)
2_La_Cygne,Boiler (Coal)
2_Labadie,Boiler (Coal)
2_Leland_Olds,Boiler (Coal)
2_Lingan,Boiler (Coal)
2_Marshall__NC_,Boiler (Coal)
2_Mecklenburg_Power_Station,Boiler (Coal)
2_Merom,Boiler (Coal)
2_Merrimack,Boiler (Coal)
2_Mill_Creek__KY_,Boiler (Coal)
2_Mitchell__WV_,Boiler (Coal)
2_Monroe__MI_,Boiler (Coal)
2_Nebraska_City,Boiler (Coal)
2_Paradise,Boiler (Coal)
2_Pleasant_Prairie,Boiler (Coal)
2_Poplar_River,Boiler (Coal)
2_Prairie_State_Generating_Station,Boiler (Coal)
2_Pt__Tupper,Boiler (Coal)
2_R_D_Green,Boiler (Coal)
2_R_D_Morrow,Boiler (Coal)
2_R_Gallagher,Boiler (Coal)
2_Rush_Island,Boiler (Coal)
2_Scherer,Boiler (Coal)
2_Sheldon,Boiler (Coal)
2_Shiras,Boiler (Coal)
2_Trimble_County,Boiler (Coal)
2_Victor_J_Daniel_Jr,Boiler (Coal)
2_Wansley,Boiler (Coal)
2_Warrick,Boiler (Coal)
2_Wateree,Boiler (Coal)
2_Whelan_Energy_Center,Boiler (Coal)
2H_Brunner_Island,Boiler (Coal)
2H_General_James_M_Gavin,Boiler (Coal)
2H_Rockport,Boiler (Coal)
2L_Brunner_Island,Boiler (Coal)
2R_General_James_M_Gavin,Boiler (Coal)
2R_Rockport,Boiler (Coal)
3_1_Big_Bend,Boiler (Coal)
3_1_Big_Cajun_2,Boiler (Coal)
3_1_Brame_Energy_Center,Boiler (Coal)
3_1_Coleson_Cove__NBPO_,Boiler (Coal)
3_1_Cross,Boiler (Coal)
3_1_Dunkirk_Generating_Plant,Boiler (Coal)
3_1_Gallatin__TN_,Boiler (Coal)
3_1_H_L_Spurlock,Boiler (Coal)
3_1_Harrington,Boiler (Coal)
3_1_Jeffrey_Energy_Center,Boiler (Coal)
3_1_Kingston,Boiler (Coal)
3_1_Muskogee,Boiler (Coal)
3_1_Nanticoke__OPG_,Boiler (Coal)
3_1_Roxboro,Boiler (Coal)
3_1_Shawnee,Boiler (Coal)
3_1_Thomas_Hill,Boiler (Coal)
3_1_Winyah,Boiler (Coal)
3_2_Dunkirk_Generating_Plant,Boiler (Coal)
3_2_Silver_Bay_Power,Boiler (Coal)
3_AES_Petersburg,Boiler (Coal)
3_Baldwin_Energy_Complex,Boiler (Coal)
3_Blue_Valley,Boiler (Coal)
3_Boundary_Dam,Boiler (Coal)
3_Bowen,Boiler (Coal)
3_Bridgeport_Station,Boiler (Coal)
3_Brunner_Island,Boiler (Coal)
3_Cardinal,Boiler (Coal)
3_Charles_R_Lowman,Boiler (Coal)
3_Chesterfield,Boiler (Coal)
3_Clay_Boswell,Boiler (Coal)
3_Clifty_Creek,Boiler (Coal)
3_Dallman,Boiler (Coal)
3_E_W_Brown,Boiler (Coal)
3_F_B_Culley,Boiler (Coal)
3_FirstEnergy_Bruce_Mansfield,Boiler (Coal)
3_FirstEnergy_Harrison_Power_Station,Boiler (Coal)
3_G_G_Allen,Boiler (Coal)
3_Genoa,Boiler (Coal)
3_George_Neal_North,Boiler (Coal)
3_Ghent,Boiler (Coal)
3_Gibson,Boiler (Coal)
3_H_Dickerson,Boiler (Coal)
3_H_South_Oak_Creek,Boiler (Coal)
3_Hammond,Boiler (Coal)
3_HMP_L_Station_Two_Henderson,Boiler (Coal)
3_Homer_City_Generating_Station,Boiler (Coal)
3_J_B_Sims,Boiler (Coal)
3_J_H_Campbell,Boiler (Coal)
3_J_M_Stuart,Boiler (Coal)
3_James_H_Miller_Jr,Boiler (Coal)
3_James_River_Power_Station,Boiler (Coal)
3_Joppa_Steam,Boiler (Coal)
3_Kenneth_C_Coleman,Boiler (Coal)
3_Kyger_Creek,Boiler (Coal)
3_L_Dickerson,Boiler (Coal)
3_L_G_G_Allen,Boiler (Coal)
3_L_South_Oak_Creek,Boiler (Coal)
3_Labadie,Boiler (Coal)
3_Lingan,Boiler (Coal)
3_Marshall__NC_,Boiler (Coal)
3_Mill_Creek__KY_,Boiler (Coal)
3_Monroe__MI_,Boiler (Coal)
3_Mt_Storm,Boiler (Coal)
3_Scherer,Boiler (Coal)
3_Sherburne_County,Boiler (Coal)
3_Shiras,Boiler (Coal)
3_Sibley,Boiler (Coal)
3_Taconite_Harbor_Energy_Center,Boiler (Coal)
3_Walter_Scott_Jr_Energy_Center,Boiler (Coal)
3_Warrick,Boiler (Coal)
3_Weston,Boiler (Coal)
3_Willmar,Boiler (Coal)
30_Seminole__FL_,Boiler (Coal)
31_Ebensburg_Power,Boiler (Coal)
3H_John_E_Amos,Boiler (Coal)
3R_John_E_Amos,Boiler (Coal)
4_1_Big_Bend,Boiler (Coal)
4_1_Cross,Boiler (Coal)
4_1_Gallatin__TN_,Boiler (Coal)
4_1_H_L_Spurlock,Boiler (Coal)
4_1_Kingston,Boiler (Coal)
4_1_Nanticoke__OPG_,Boiler (Coal)
4_1_Roxboro,Boiler (Coal)
4_1_Shawnee,Boiler (Coal)
4_1_Winyah,Boiler (Coal)
4_AES_Petersburg,Boiler (Coal)
4_Barry,Boiler (Coal)
4_Boundary_Dam,Boiler (Coal)
4_Bowen,Boiler (Coal)
4_Chesterfield,Boiler (Coal)
4_Clay_Boswell,Boiler (Coal)
4_Clifty_Creek,Boiler (Coal)
4_Conesville,Boiler (Coal)
4_Dallman,Boiler (Coal)
4_G_G_Allen,Boiler (Coal)
4_George_Neal_South,Boiler (Coal)
4_Ghent,Boiler (Coal)
4_Gibson,Boiler (Coal)
4_Hammond,Boiler (Coal)
4_HMP_L_Station_Two_Henderson,Boiler (Coal)
4_Indian_River_Generating_Station,Boiler (Coal)
4_J_M_Stuart,Boiler (Coal)
4_James_H_Miller_Jr,Boiler (Coal)
4_James_River_Power_Station,Boiler (Coal)
4_Joppa_Steam,Boiler (Coal)
4_Kaukauna_Paper_Mill,Boiler (Coal)
4_Kyger_Creek,Boiler (Coal)
4_Labadie,Boiler (Coal)
4_Lansing,Boiler (Coal)
4_Lingan,Boiler (Coal)
4_Marion,Boiler (Coal)
4_Marshall__NC_,Boiler (Coal)
4_Mill_Creek__KY_,Boiler (Coal)
4_Monroe__MI_,Boiler (Coal)
4_North_Omaha,Boiler (Coal)
4_Prairie_Creek,Boiler (Coal)
4_R_Gallagher,Boiler (Coal)
4_Scherer,Boiler (Coal)
4_Walter_Scott_Jr_Energy_Center,Boiler (Coal)
4_Warrick,Boiler (Coal)
4_Weston,Boiler (Coal)
5_1_Kingston,Boiler (Coal)
5_1_Shawnee,Boiler (Coal)
5_Barry,Boiler (Coal)
5_Biron_Mill,Boiler (Coal)
5_Boundary_Dam,Boiler (Coal)
5_Brandon,Boiler (Coal)
5_Chesterfield,Boiler (Coal)
5_Clifty_Creek,Boiler (Coal)
5_Conesville,Boiler (Coal)
5_Crist,Boiler (Coal)
5_E_C_Gaston,Boiler (Coal)
5_Edgewater,Boiler (Coal)
5_FirstEnergy_W_H_Sammis,Boiler (Coal)
5_G_G_Allen,Boiler (Coal)
5_Gibson,Boiler (Coal)
5_Hawthorn,Boiler (Coal)
5_James_E__Rogers_Energy_Complex,Boiler (Coal)
5_James_River_Power_Station,Boiler (Coal)
5_Joppa_Steam,Boiler (Coal)
5_Kyger_Creek,Boiler (Coal)
5_North_Omaha,Boiler (Coal)
5_Powerton,Boiler (Coal)
5_Riverside,Boiler (Coal)
5_Robert_A_Reid,Boiler (Coal)
5_Trenton__NSPI_,Boiler (Coal)
6_1_Kingston,Boiler (Coal)
6_1_Shawnee,Boiler (Coal)
6_Archer_Daniels_Midland_Cedar_Rapids,Boiler (Coal)
6_Boundary_Dam,Boiler (Coal)
6_Chesterfield,Boiler (Coal)
6_Clifty_Creek,Boiler (Coal)
6_Conesville,Boiler (Coal)
6_Crist,Boiler (Coal)
6_FirstEnergy_W_H_Sammis,Boiler (Coal)
6_Havana,Boiler (Coal)
6_James_De_Young,Boiler (Coal)
6_James_E__Rogers_Energy_Complex,Boiler (Coal)
6_John_P_Madgett,Boiler (Coal)
6_Joppa_Steam,Boiler (Coal)
6_Powerton,Boiler (Coal)
6_Streeter_Station,Boiler (Coal)
6_Trenton__NSPI_,Boiler (Coal)
7_1_Kingston,Boiler (Coal)
7_1_Shawnee,Boiler (Coal)
7_Ames_Electric_Services_Power_Plant,Boiler (Coal)
7_Columbia__MO_,Boiler (Coal)
7_Crist,Boiler (Coal)
7_FirstEnergy_W_H_Sammis,Boiler (Coal)
7_Lon_Wright,Boiler (Coal)
7_Miami_Fort,Boiler (Coal)
8_1_Kingston,Boiler (Coal)
8_1_Shawnee,Boiler (Coal)
8_Ames_Electric_Services_Power_Plant,Boiler (Coal)
8_Gorgas,Boiler (Coal)
8_Lon_Wright,Boiler (Coal)
8_Miami_Fort,Boiler (Coal)
8_Muscatine_Plant__1,Boiler (Coal)
8_Pulliam,Boiler (Coal)
8_South_Oak_Creek,Boiler (Coal)
9_1_Kingston,Boiler (Coal)
9_1_Shawnee,Boiler (Coal)
9_Avon_Lake,Boiler (Coal)
9_Gorgas,Boiler (Coal)
9_Manitowoc,Boiler (Coal)
9_Muscatine_Plant__1,Boiler (Coal)
A_Birchwood_Power,Boiler (Coal)
A_Edgecombe_Genco_LLC,Boiler (Coal)
A_J_H_Campbell,Boiler (Coal)
A_Muscatine_Plant__1,Boiler (Coal)
A_Spruance_Genco_LLC,Boiler (Coal)
B_Edgecombe_Genco_LLC,Boiler (Coal)
B_J_H_Campbell,Boiler (Coal)
B_Spruance_Genco_LLC,Boiler (Coal)
C_Spruance_Genco_LLC,Boiler (Coal)
D_Spruance_Genco_LLC,Boiler (Coal)
H_Hennepin_Power_Station,Boiler (Coal)
H_Herbert_A_Wagner,Boiler (Coal)
H1_Mt_Storm,Boiler (Coal)
H2_Mt_Storm,Boiler (Coal)
L_Hennepin_Power_Station,Boiler (Coal)
L_Herbert_A_Wagner,Boiler (Coal)
L1_Mt_Storm,Boiler (Coal)
L2_Mt_Storm,Boiler (Coal)
S1_FirstEnergy_Eastlake,Boiler (Coal)
S2_FirstEnergy_Eastlake,Boiler (Coal)
S3_FirstEnergy_Eastlake,Boiler (Coal)
S4_FirstEnergy_Eastlake,Boiler (Coal)
S5_FirstEnergy_Eastlake,Boiler (Coal)
SV_FirstEnergy_Lake_Shore,Boiler (Coal)
W1_Luke_Mill,Boiler (Coal)
1_1_,Boiler (Diesel Oil)
1_1_Covanta_Essex_Company,Boiler (Diesel Oil)
