Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_Cataract Hydro,100474_CATRACT EAST_13.2,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Cavendish,109143_CAVENDISH_D2_12.47,Generation Participation Factor,1,,-,1,,,,=,,,,VT
1_Cedar Cliff,308516_1CEDARCL_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Cedar Creek,307858_1CEDAR CK_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Cedar Falls (WI),605378_CEDARFA8_69,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_Center Falls,137865_BATKILL_115,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Center Hill,364605_1CENTHILL H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Center Hill,364606_1CENTHILL H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Center Hill,364607_1CENTHILL H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Central Hudson High Falls,125061_HIGHF115_115,Generation Participation Factor,1,,-,1,,,,=,,,,HUD VL
1_Chace Mill Winooski One,108875_BED_WINOOSKI_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,VT
1_Chalk Hill,699124_CKH HG_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Charles E Monty,100460_MONTY HYDRO_12,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Chasm,137166_CHASM HY_2.2,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Chasm Hydro Partnership,131813_CHATGY34_34.5,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
1_Chats Falls,155617_CHAT_FL_GS4_13.8,Generation Participation Factor,0.2,,-,1,,,,=,,,,ONTE
1_Chats Falls,155628_CHAT_FL_GS23_13.8,Generation Participation Factor,0.2,,-,1,,,,=,,,,ONTE
1_Chats Falls,155629_CHAT_FL_GS5_13.8,Generation Participation Factor,0.2,,-,1,,,,=,,,,ONTE
1_Chats Falls,155630_CHATSFALLG67_13.8,Generation Participation Factor,0.2,,-,1,,,,=,,,,ONTE
1_Chats Falls,155631_CHATSFALLG89_13.8,Generation Participation Factor,0.2,,-,1,,,,=,,,,ONTE
1_Chatuge,364428_1CHATUGE H1_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
1_Cheatham,364608_1CHEATHAM H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Cheatham,364609_1CHEATHAM H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
