Node,Voltage
386430_1CENTAL 2C_18,18
386437_1HILL ST1_23,23
386438_1HILLCT1A_16,16
386439_1HILLCT1B_16,16
386491_1HARRIS 1ST_21,21
386492_1HARRIS 1A_18,18
386493_1HARRIS 1B_18,18
386494_1HARRIS 2ST_21,21
386495_1HARRIS 2A_18,18
386496_1HARRIS 2B_18,18
300001_1THLG1_20,20
300002_1THLG2_22,22
300003_1THLG3_24,24
300006_1NM G1_22,22
300007_1NM G2_22,22
300008_1GNTRYG1_0.6,0.6
300009_1ACHSNG1_0.6,0.6
300010_1STFRG1_16,16
300011_1STFRG2_16,16
300012_1HOLDNG1_13.8,13.8
300013_1HOLDNG2_13.8,13.8
300014_1HOLDNG3_13.8,13.8
300015_1SGPDEL_18,18
300016_1G1GPDEL_18,18
300017_1G2GPDEL_18,18
300020_1CHOTCT4_16,16
300021_1CHOTCT5_16,16
300024_1CHOTST6_16,16
300025_1NDWYG1_13.8,13.8
300026_1NDWYG2_13.8,13.8
300027_1WPLCTG1_13.8,13.8
300028_1WPLCTG2_13.8,13.8
300029_1ESSEXG_13.8,13.8
300030_8GPDELL_500,500
300031_1CHOTST3_16,16
300032_1CHOTCT1_16,16
300033_1CHOTCT2_16,16
300034_5EDMONS_161,161
300035_8NEWMAD_500,500
300036_5MPLTAP_161,161
300037_5BRUSELS_161,161
300038_7ESSEX_345,345
300039_7FAIRPT_345,345
300040_7FLETCH_345,345
300041_7FRANKS_345,345
300042_7HUBEN_345,345
300043_7KINGDM_345,345
300044_7MCCRED_345,345
300045_7MORGAN_345,345
300046_7NEWMAD_345,345
300047_7SALEM_345,345
300048_7STFRAN_345,345
300049_7THOMHL_345,345
300050_7PALMYR_AI_345,345
300053_5OLDMARS_161,161
300054_7GOBKNOB_345,345
300055_5LOSTCK_161,161
300056_5ASHRVL_161,161
300057_5BARNET_161,161
300058_5SPALDNG_161,161
300059_5BIG CK_161,161
300060_5BIGSPG_161,161
300061_5BOONE_161,161
300062_5CROSSWAY_161,161
300063_5CALIF_161,161
300064_5CAMDEN_161,161
300065_5CAMDTP_161,161
300066_5HIGBEE_161,161
300067_5CHAMOI_161,161
300068_5CHILLI_161,161
300069_5CHOTEAU1_161,161
300070_5CLARK_161,161
300071_5CLINTN_161,161
300072_5COFFMN_161,161
300073_5GENTRY_161,161
300074_5CUBA3_161,161
300075_5ESSEX_161,161
300076_5FAIRPT_161,161
300077_5FLETCH_161,161
300078_5FRANKS_161,161
300079_5FREDTN_161,161
300080_5FTWOOD_161,161
300081_5GAINES_161,161
300082_5GEORGE_161,161
300083_5GIBSON_161,161
300084_5GRNFRT_161,161
300085_5GRNVEW_161,161
300086_5GRNVTP_161,161
300087_5HICKCK_161,161
300088_5HUBEN_161,161
300089_5JAMESV_161,161
300090_5KINGDM_161,161
300091_5LATHRP_161,161
300092_5LEBANN_161,161
300093_5LEEPER_161,161
300094_5LOCUST_161,161
300095_5MANSFD_161,161
300096_5MARIES_161,161
300097_5MARYVL_161,161
300098_5MOCITY_161,161
300099_5MONTCT_161,161
300100_5MONTTP_161,161
300101_5MORGAN_161,161
300102_5MRSHFL_161,161
300103_5NEWMAD_161,161
300104_5NODWAY_161,161
300105_5NORTON_161,161
300106_5NOVELY_SW_161,161
300107_5OSBORN_161,161
300108_5OSCEOL_161,161
300109_5PHLIPS_161,161
300110_5PITTSV_161,161
300111_5RCHFTN_161,161
300112_5SALEM_161,161
300113_5SRIVER_161,161
300114_5STFRN1_161,161
300115_5STFRAN_161,161
300116_5STFRN2_161,161
300117_5SEDALA_161,161
300118_5STKAEC_161,161
300119_5SULLVN_161,161
300120_5THMHIL_161,161
300121_5MORLEY_161,161
300122_5WILSPG_161,161
300123_5WPLAIN_161,161
300124_5HOLDEN_161,161
300125_5FLETSTR_1,1
300126_5MOBTAP_161,161
300129_5WASHBRN_161,161
300130_5RENOHLW_161,161
300131_4FISHERTP_138,138
300134_5KISKER_161,161
300135_4LUTHER_138,138
300136_4MEMORAL_138,138
300137_4BRISTOW_138,138
300138_4CLEVLND_138,138
300139_4FAIRFAX_138,138
300140_4SILVCTY_138,138
300141_4STILWTR_138,138
300142_4SULVN_138,138
300143_4VALLEY_138,138
300145_4FISHER_138,138
300146_4SKIAETP_138,138
300160_2CROSSWAY_69,69
300165_4SFORKK_138,138
300167_5ETHLYN_161,161
300168_5GOBKNOB_161,161
300170_2STJUDEW_69,69
300171_2NMCOAL_69,69
300172_2TMHILL_69,69
300173_2GOBKNOB_69,69
300175_1FLTCHTR_13.8,13.8
300176_2BURLJT_69,69
300177_2COIN_69,69
300178_2CRAIG_NW_69,69
300179_2HAMBRG_69,69
300180_2IPL TP_69,69
300181_2LINDEN_69,69
300182_2MOUND_69,69
300183_2NEWPTP_69,69
300184_2NORTHB_69,69
300185_2PHELPS_69,69
300186_2ROCKPT_69,69
300188_2STRDTP_69,69
300189_2TARKIO_69,69
300190_2NEWPNT_69,69
300191_2CROSRDS_69,69
300192_2RCKWOLT_69,69
300193_2AVLON_69,69
300194_2CHILLI_69,69
300195_2CHILLR_69,69
300196_2WOODY_69,69
300197_2COONCK_69,69
300198_2GALLTN_69,69
300199_2HALE_69,69
300200_2INDPRK_69,69
300201_2INGROV_69,69
300202_2JAMESN_69,69
300203_2KIDDER_69,69
300204_2KNOXVL_69,69
300205_2LACLED_69,69
300206_2MABEL_69,69
300207_5MEADVL_161,161
300208_2NETTLT_69,69
300209_2PATBRG_69,69
300210_2RCKWOOL_69,69
300211_2POLO_69,69
300212_2QUOTE_69,69
300213_2STET_69,69
300214_2CHILCTY_69,69
300215_2MABELTP_69,69
300216_1GENTRY_34.5,34.5
300219_2BETHCT_69,69
300220_2BETHNY_69,69
300221_2CLEOPA_69,69
300222_2EAGLEV_69,69
300223_2GALT_69,69
300224_2GOSHEN_69,69
300226_2HICKRY_69,69
300227_2HUMPHY_69,69
300228_2JMSPRT_69,69
300229_2MEDICCK_69,69
300230_2MERCER_69,69
300231_2MPSJCT_69,69
300232_2MPSLAR_69,69
300233_2MPSTRE_69,69
300234_2OSGOOD_69,69
300235_2PRNCTN_69,69
300236_2RIDGWY_69,69
300237_2TINDAL_69,69
300238_2TRENCT_69,69
300239_2TRENTN_69,69
300240_2WHSKYJC_69,69
300241_2ATCHISN_69,69
300242_1ATCHISN_34.5,34.5
300245_2ALBANYR_69,69
300246_2CONCPT_69,69
300247_2DEARBR_69,69
300248_2DRLNGT_69,69
300249_2FAIRPT_69,69
300250_2FILLMR_69,69
300251_2FLGGSP_69,69
300254_2GOWER_69,69
300255_2GRNTCTY_69,69
300256_2HOPKNS_69,69
300257_2KINGCT_69,69
300258_2MARYVL_69,69
300259_2MAYSVL_69,69
300260_2MIDWAY_69,69
300263_2QUITMN_69,69
300264_2SAVANH_69,69
300265_2SHERID_69,69
300266_2SKIDMR_69,69
300267_2STANBR_69,69
300268_2STEWRV_69,69
300269_2ALBNCTY_69,69
300270_2CLYDE_69,69
300271_1CLYDE_34.5,34.5
300273_1CLYDEG1_0.6,0.6
300274_5LOCSTGV_161,161
300275_2BRWNING_69,69
300276_2HRTFRD_69,69
300278_2LOCUST_69,69
300279_2LUCERN_69,69
300280_2MILAN_69,69
300281_2MILANC_69,69
300282_2NEWTWN_69,69
300283_2PSF_69,69
300284_2PSFTAP_69,69
300285_2PURDIN_69,69
300286_2SHELBY_69,69
300287_2UNIONV_69,69
300288_1UNONVL_13.8,13.8
300290_2OSBORN_69,69
300291_2BARR_69,69
300292_2CAMERN_69,69
300293_2CAMRNJ_69,69
300294_2CLEARCK_69,69
300295_2DRYFKNW_69,69
300296_2GRNBRI_69,69
300297_2HOLT_69,69
300298_2HOOVER_69,69
300299_2JOHNST_69,69
300300_2KATY_69,69
300301_2KEARNY_69,69
300302_2LATHRP_69,69
300304_2MOCITY_69,69
300305_2ORRICK_69,69
300306_2PARADS_69,69
300307_2PLATCTY_69,69
300308_2MOCISTR_1,1
300309_2MOCISTR_1,1
300310_2SMITHV_69,69
300311_2SMRSET_69,69
300312_2TURNEY_69,69
300313_2WESTBR_69,69
300314_2WESTON_69,69
300315_2WOODRUF_69,69
300318_1ROCKPT_34.5,34.5
