Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,1_Longview_Power_Plant,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Louisa,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Lumberton,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Marshall__NC_,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Mayo,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Mecklenburg_Power_Station,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Merom,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Merrimack,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_Mill_Creek__KY_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_MillerCoors_Trenton_Brewery,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Mitchell__WV_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Monroe__MI_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Morgantown_Energy_Facility,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Nebraska_City,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Newton,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Northampton_Generating_Company_LP,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Ottumwa,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_P_H_Glatfelter,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Panther_Creek_Energy_Facility,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Paradise,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Pirkey,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Platte,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Pleasant_Prairie,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Plum_Point_Energy_Station,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Poplar_River,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,1_Prairie_State_Generating_Station,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Pt__Aconi,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_R_D_Green,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_R_D_Morrow,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_R_M_Heskett,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Red_Hills_Generating_Facility,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Rush_Island,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Scherer,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Scrubgrass_Generating_Company_LP,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Seward,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Shand,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,1_Sheldon,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Sherburne_County,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Shiras,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Sikeston_Power_Station,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Somerset_Operating_Co_LLC,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_Spiritwood_Station,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_St_Nicholas_Cogen_Project,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_TES_Filer_City_Station,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Trimble_County,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Victor_J_Daniel_Jr,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Virginia_City_Hybrid_Energy_Center,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Wansley,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Warrick,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Wateree,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_Westwood_Generation_LLC,Coal_MA,Boiler (Coal),-
