Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:51.6,  00:29:06.4. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:00:48.4,  00:28:24.0. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:01:10.9,  00:23:26.0. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:01:21.5,  00:27:42.3. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:43.9,  00:21:23.5. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:25.1,  00:29:02.1. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:00:54.9,  00:37:54.6. 
log_files/Model ( b_2024_EI_MISO_37 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:14.5,  00:38:54.4. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,1, 2575644, 6000, 183623, 737626,  00:00:11.4,  00:28:13.4. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,2, 2575644, 6000, 183623, 737626,  00:00:10.3,  00:19:43.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,3, 2575644, 6000, 183623, 737626,  00:00:08.4,  00:19:50.1. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,4, 2575644, 6000, 183623, 737626,  00:00:07.2,  00:22:55.5. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,5, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:23:15.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,6, 2575644, 6000, 183623, 737626,  00:00:08.1,  00:23:02.7. 
log_files/Model ( b_2024_EI_NYISO_01 ) Log (4).txt,7, 2575644, 6000, 183623, 737626,  00:00:07.0,  00:25:55.3. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:07.3,  00:30:09.3. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:05.3,  00:19:38.6. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:04.8,  00:22:32.6. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:23:26.6. 
